code,label,description,parent_code,examples
18222000,Corporate clothing,EMERA MSOS tudengitele vormirõivaste valmistamine ja tarnimine,,EMERA MSOS tudengitele vormirõivaste valmistamine ja tarnimine || Meresõiduohutuse seadusega reguleeritud õppekavadel õppivate üliõpilaste ja Eesti Mereakadeemia (EMERA) töötajate vormiriietuse valmistamine ja tarnimine || Estonia – Corporate clothing – EMERA MSOS tudengitele vormirõivaste valmistamine ja tarnimine
18300000,Garments,"Sooja aluspesu komplektide soetamine - sooja aluspesu särke 8470 tk ja sooja aluspesu pükse 9390 pr koos tarnimisega aadressile Aasa tee 4, Loo alevik, Jõelähtme vald, Harju maakond, 74201(võib muutuda).",,"Sooja aluspesu komplektide soetamine - sooja aluspesu särke 8470 tk ja sooja aluspesu pükse 9390 pr koos tarnimisega aadressile Aasa tee 4, Loo alevik, Jõelähtme vald, Harju maakond, 74201(võib muutuda). || Estonia – Garments – Soe aluspesu || Sooja aluspesu komplektide (särk ja püksid) soetamine. Hankija soovib hankida sooja aluspesu komplekte. Lõplik hangitavate sooja aluspesu komplektide arv sõltub pakkumuses toodud tükihinnast ning tellimuse maksumus ei ületa dünaamilise hankesüsteemi osa 2 eeldatavat maksumust. || Sooja aluspesu püksid M14, Sooja aluspesu püksid M14 MeV, Sooja aluspesu särk M14, Sooja aluspesu särk M14 MeV, Võrkpesu."
18444111,Crash helmets,Tuletõrjekiivrite ja kiivrilampide ostmine,,"Tuletõrjekiivrite ja kiivrilampide ostmine || Päästeamet ostab tuletõrjekiivreid koos integreeritud kiivrilampidega, mis on mõeldud kasutamiseks tulekustutus- ja päästetöödel. || Estonia – Crash helmets – Tuletõrjekiivrite ja kiivrilampide ostmine"
18512100,Coins,2euroste pühendusmüntide hange (Rukkilill),,2euroste pühendusmüntide hange (Rukkilill) || Antud riigihanke raames on plaanis leida vermija (rahapaja) 2euroste pühendusmüntide vermimiseks. || Estonia – Coins – 2euroste pühendusmüntide hange (Rukkilill)
18931100,Rucksacks,Varustuskottide ostmine,,Varustuskottide ostmine || Estonia – Rucksacks – Varustuskottide ostmine
22100000,"Printed books, brochures and leaflets","Eestikeelsete teavikute ostmine, 27.04.2023",,"Eestikeelsete teavikute ostmine, 27.04.2023 || Eestikeelsete teavikute ostmine, 27.04.2023 Kaitseväele || Teavikute ostmine vastavalt seotud hanke tingimustele || Estonia – Printed books, brochures and leaflets – Eestikeelsete teavikute ostmine, 27.04.2023 || Eestikeelsete teavikute ostmine, 25.04.2023 || Eestikeelsete teavikute ostmine Kaitseväele, 25.04.2023 || Estonia – Printed books, brochures and leaflets – Eestikeelsete teavikute ostmine, 25.04.2023"
22900000,Miscellaneous printed matter,Transpordiameti trükised 2023-2026,,Transpordiameti trükised 2023-2026 || Estonia – Miscellaneous printed matter – Transpordiameti trükised 2023-2026
24111500,Medical gases,Meditsiiniliste gaaside ostmine,,"Meditsiiniliste gaaside ostmine || Hankija soovib sõlmida lepingud 2-, 3- ja 10- liitriste portatiivsete hapnike ostmiseks koos balloonide rentimisega - kogused on ära toodud maksumustabelis 10 liitrised balloonid on kasutusel kiirabiautodes fikseerituna ning 2 ja 3 -liitrised balloonid on kaasaskantavad spetsiaalse kandekotiga. Hankija sõlmib riskide maandamiseks hankelepingu 48 kuuks kõigi pakkumuse esitanud ning edukaks tunnistatud pakkujatega. Hankeleping sõlmitakse seni väljakujunenud maksetingimusi, balloonide vahetuspraktikat jm asjaolusid arvestades. || Estonia – Medical gases – Meditsiiniliste gaaside ostmine"
24111900,Oxygen,Meditsiinilise hapniku ostmine ja hapnikuballoonide üürimine koos hapnikuballoonide patsientidele transportimisega,,Meditsiinilise hapniku ostmine ja hapnikuballoonide üürimine koos hapnikuballoonide patsientidele transportimisega || Estonia – Oxygen – Meditsiinilise hapniku ostmine ja hapnikuballoonide üürimine koos hapnikuballoonide patsientidele transportimisega
24311520,Sodium hydroxide,Tehnilise vedela 100%-lise naatriumhüdroksiidi ostmine,,Tehnilise vedela 100%-lise naatriumhüdroksiidi ostmine || Tehnilise vedela 100%-lise naatriumhüdroksiidi ostmine. Tarnemaht on 108 tonni. || Estonia – Sodium hydroxide – Tehnilise vedela 100%-lise naatriumhüdroksiidi ostmine || Tehnilise vedela 100%-lise naatriumhüdroksiidi ostmine. Tarnemaht on 256 tonni.
24320000,Basic organic chemicals,Karbamiidilahuse (40%) ostmine,,Karbamiidilahuse (40%) ostmine || Karbamiidilahus (40%) || Estonia – Basic organic chemicals – Karbamiidilahuse (40%) ostmine || Hankija ostab 40% karbamiidilahust
24455000,Disinfectants,Desinfektsioonvahendid hemodialüüsiaparaatide Fresenius desinfitseerimiseks,,Desinfektsioonvahendid hemodialüüsiaparaatide Fresenius desinfitseerimiseks || Desinfektsioonvahendid hemodialüüsiaparaatide Fresenius desinfitseerimiseks ostmine vastavalt reaalsele vajadusele kuni 10.05.2026 || Estonia – Disinfectants – Desinfektsioonvahendid hemodialüüsiaparaatide Fresenius desinfitseerimiseks
24600000,Explosives,"Erinevad lõhkeained ja -materjalid, laengud, miinid ja nende osad",,"Erinevad lõhkeained ja -materjalid, laengud, miinid ja nende osad || Erinevad lõhkeained ja lõhkematerjalid (Nt süütenöör, süütekapslid, lõhketeip, lõhkeaine tuvastuskomplektid, lõhkamismasinad, det.nöör). Erinevad laengud, miinid ja nende osad. Materjalivaldkonna elutsükli tagamine, uuendamine ja juba olemasolevate toodete modifitseerimine. || Erinevad lõhkeained ja -materjalid || Estonia, Lithuania – Explosives – Erinevad lõhkeained ja -materjalid, laengud, miinid ja nende osad"
24962000,Water-treatment chemicals,Polüalumiiniumkloriidi ostmine,,Polüalumiiniumkloriidi ostmine || Veepuhastuses kasutatava polüalumiiniumkloriidi ostmine || Estonia – Water-treatment chemicals – Polüalumiiniumkloriidi ostmine
30190000,Various office equipment and supplies,"Hanke eesmärk on hankida riigihanke alusdokumentides(RHAD) seatud tingimustele vastavad bürootarbed, trükised ja kontoritehnika kulumaterjalid, igal osale sõlmitakse eraldi raamleping 3 aastaks.",,"Hanke eesmärk on hankida riigihanke alusdokumentides(RHAD) seatud tingimustele vastavad bürootarbed, trükised ja kontoritehnika kulumaterjalid, igal osale sõlmitakse eraldi raamleping 3 aastaks. || Estonia – Various office equipment and supplies – Bürootarbed"
30213100,Portable computers,RUGGED seadmed ja lisakomponendid,,"RUGGED seadmed ja lisakomponendid || Riigihanke eesmärgiks on full-, semi- ja tööstuslike rugged seadmete ja nende lisatarvikute ostmine. Rugged seadmed on seadmed, mida saab kasutada ka kõige ekstreemsemates tingimustes || Full-Rugged seadmed koos vajaminevate komponentide ja elutsüklihaldusega || Estonia – Portable computers – RUGGED seadmed ja lisakomponendid || Arvutite, monitoride ja lisaseadmete ostmine || Elering AS arvutite, monitoride ja lisaseadmete ostmine || Estonia – Portable computers – Arvutite, monitoride ja lisaseadmete ostmine"
30231300,Display screens,Kuvarite rentimine Tallinna linna koolidele,,"Kuvarite rentimine Tallinna linna koolidele || Tallinna Strateegiakeskus viib läbi riigihanke, millega soovitakse rentida kasutatud kuvareid 48 kuuks Tallinna linna koolidele. || Estonia – Display screens – Kuvarite rentimine Tallinna linna koolidele"
30238000,Library automation equipment,Kultuuriväärtuslike esemete digimiseks digimisseadme komplekti ostmine (SA Eesti Vabaõhumuuseum),,"Kultuuriväärtuslike esemete digimiseks digimisseadme komplekti ostmine (SA Eesti Vabaõhumuuseum) || Hankija soovib osta optimaalse töövooga ja ökonoomset digiteerimissüsteemi uut komplekti, sama- ja erimõõduliste tasapinnaliste ja ruumiliste (kolmemõõtmeliste) kultuuriväärtuslike objektide digiteerimiseks. Komplekti kuuluvad: digiteerimisseade, võimekusega digiteerida A0 formaadis, tasapinnalisi objekte resolutsiooniga 300 dpi-d; tarkvara toel automaatselt kõrgustmuutva statiiviga reprolaud; valguslaud erinevat tüüpi kultuuriväärtuslike negatiivide digiteerimiseks, koos selleks sobilike erimõõduliste negatiivide hoidjatega sh. klaasnegatiivi hoidjad; kultuuriväärtuslike objektide digiteerimiseks sobilikud valgustid; graafikaarvuti - varustatud spetsiaalse tarkvaraga, mis on mõeldud juhtima kultuuriväärtuslike objektide digiteermisseadet; graafikamonitor (kalibreeritav). Pakkumus peab sisaldama paigaldust, installatsiooni, koolitust ja garantiiperioodil igaaastast korralist hooldust, remonti ja tarkvara uuendusi. || Estonia – Library automation equipment – Kultuuriväärtuslike esemete digimiseks digimisseadme komplekti ostmine (SA Eesti Vabaõhumuuseum)"
31110000,Electric motors,Auvere elektrijaama suitsuimeja elektrimootori ostmine,,"Auvere elektrijaama suitsuimeja elektrimootori ostmine || Ostetakse uut elektrimootori, tüübiga HYOSUNG HSTC 1000G (või selle analoogi vastavalt tehnilistele tigimustele), mis vastab Auvere EJ paigaldatud suitsugaaside eemaldamise ventilaatori kõigile projekteeritud tehnilistele ja paigaldamise parameetritele, tarnimine Tellija lattu. || Estonia – Electric motors – Auvere elektrijaama suitsuimeja elektrimootori ostmine"
31120000,Generators,Diiselgeneraatorite ostmine vastavalt hanketeates ja hanke alusdokumentides kirjeldatule.,,"Diiselgeneraatorite ostmine vastavalt hanketeates ja hanke alusdokumentides kirjeldatule. || Estonia – Generators – Diiselgeneraatorid || Elektrigeneraatori ja kütusemahuti ostmine koos paigaldusega Riia 167, Tartu || Riigihanke eesmärk on sõlmida hankeleping Riia 167, Tartu hoone B- ja C-korpuse: 1. kütusemahuti ostmiseks koos maa-aluse paigaldamisega; 2. elektrigeneraatori ostmiseks koos paigaldusega. || Estonia – Generators – Elektrigeneraatori ja kütusemahuti ostmine koos paigaldusega Riia 167, Tartu || Elektrigeneraatorite ja kütusemahutite ostmine koos paigaldusega L. Puusepa 8, Tartu || Riigihanke eesmärk on sõlmida hankeleping L. Puusepa 8 hoone: 1. G- ja H-korpuse elektri varugeneraatori kütusemahuti suurendamiseks kütusemahuti ostmiseks koos selle maa-aluse paigaldusega; 2. kütusemahuti ostmiseks koos maa-aluse paigaldamisega (A-, B-, D-, E- ja F-korpuse tarbeks); 3. elektrigeneraatori ostmiseks koos paigaldusega (F-korpuse tarbeks); 4. elektrigeneraatori ostmiseks koos paigaldusega (A-, B-, D- ja E-korpuse tarbeks). || Estonia – Generators – Elektrigeneraatorite ja kütusemahutite ostmine koos paigaldusega L. Puusepa 8, Tartu"
31170000,Transformers,"Tapa, Jõgeva ja Tartu alajaamasesse jõutrafode ostmine ja paigaldamine (LR8269, LR8529, LR8530, LR8578)",,"Tapa, Jõgeva ja Tartu alajaamasesse jõutrafode ostmine ja paigaldamine (LR8269, LR8529, LR8530, LR8578) || Kolme piirkonnaalajaama jaoks kaheksa jõutrafo ostmine ja paigaldamine. || Estonia – Transformers – Tapa, Jõgeva ja Tartu alajaamasesse jõutrafode ostmine ja paigaldamine (LR8269, LR8529, LR8530, LR8578)"
31200000,Electricity distribution and control apparatus,Elektikaupade ostmine,,Elektikaupade ostmine || Elektrikaupade (tugevvoolu ja nõrkvoolu kaupade) ostmine 48 kuu vältel vastavalt reaalsele vajadusele. Mõlema hankeosa maksimaalne maksumus (summa milleni on võimalik osta) on 240 000 €+km. || Estonia – Electricity distribution and control apparatus – Elektikaupade ostmine
31213200,Distribution transformers,"50 kVA 21 (15,75)/0,41 kV jaotustrafo ostmine (IP4786)",,"50 kVA 21 (15,75)/0,41 kV jaotustrafo ostmine (IP4786) || Hange on välja kuulutatud 50 kVA 21 (15,75)/0,41 kV jaotustrafo ostmiseks (IP4768). Ostetakse avariireservi Eesti laos olemasolevad trafod. || Käesolev dünaamilise hankesüsteemi osa on loodud hermeetiliste masti- ja alajaama trafode ning kuivtrafode ostmiseks. || Estonia – Distribution transformers – 50 kVA 21 (15,75)/0,41 kV jaotustrafo ostmine (IP4786) || 100 kVA 21(10,5)/0,41 kV jaotustrafode ostmine (IP4768) || Hange on välja kuulutatud kahe 100 kVA 21(10,5)/0,41 kV jaotustrafo ostmiseks (IP4768). Ostetakse avariireservi Eesti laos olemasolevad trafod. || Estonia – Distribution transformers – 100 kVA 21(10,5)/0,41 kV jaotustrafode ostmine (IP4768) || 50 kVA 21(15,75)/0,41 kV jaotustrafo ostmine (IP4768)"
31321220,Medium-voltage cable,Keskpinge maakaabli ristlõikega 300 mm² ostmine (LR6192),,Keskpinge maakaabli ristlõikega 300 mm² ostmine (LR6192) || Hange on välja kuulutatud keskpinge maakaabli ristlõikega 300 mm² ostmiseks. Pakkuda ainult hankija poolt heakskiidetud keskpinge maakaablit. Kaabel peab vastama hankija dokumendis P368 toodud nõuetele. || Estonia – Medium-voltage cable – Keskpinge maakaabli ristlõikega 300 mm² ostmine (LR6192)
31400000,"Accumulators, primary cells and primary batteries",Telekommunikatsiooniseadmete akud,,"Telekommunikatsiooniseadmete akud || Estonia – Accumulators, primary cells and primary batteries – Telekommunikatsiooniseadmete akud"
31422000,Battery packs,"UPS-ide, kondensaatorite ning akude uuendamine",,"UPS-ide, kondensaatorite ning akude uuendamine || Hanke esemeks on hanketingimustele vastavad elektriseadmed ning nende garantii- ja hooldusteenus. || Estonia – Battery packs – UPS-ide, kondensaatorite ning akude uuendamine"
31430000,Electric accumulators,25 MW aku energiasalvestussüsteemi ost,,25 MW aku energiasalvestussüsteemi ost || Hanke mahtu kuulub 25 MW aku energiasalvestussüsteemi ostmine. || Estonia – Electric accumulators – 25 MW aku energiasalvestussüsteemi ost
31500000,Lighting equipment and electric lamps,Tallinna Linnateatri valgustehnika ostmine,,"Tallinna Linnateatri valgustehnika ostmine || Tallinna Linnateater kutsub Teid esitama pakkumust avatud hankemenetlusega riigihankele, mille eesmärgiks on leida lepingupartner, kes müüb, tarnib ja seadistab hankijale riigihanke alusdokumentides kirjeldatud valgustehnika seadmed ning paigaldab need hankija ruumidesse. || Estonia – Lighting equipment and electric lamps – Tallinna Linnateatri valgustehnika ostmine || Valgustite vahetamine LED-valgustite vastu || Käesoleva hanke eesmärk on sõlmida hankeleping sihtasutuse Tartu Ülikooli Kliinikum hoonetes aadressidel L. Puusepa 8 (G1, G2, H ja A korpuste), Raja 31 ja Riia 167 siseruumides asuvate luminofoorvalgustite osaliseks asendamiseks uute leedvalgustite vastu (valgustite 1:1 vahetamise teel). || L. Puusepa 8 hoone G1-, G2-, H- ja A-korpuse valgustite vahetus || Estonia – Lighting equipment and electric lamps – Valgustite vahetamine LED-valgustite vastu"
31640000,Machines and apparatus with individual functions,Mobiilse läbivalgustusseadme ostmine Maksu- ja Tolliametile,,Mobiilse läbivalgustusseadme ostmine Maksu- ja Tolliametile || Hankelepingu esemeks on lineaarkiirendil põhineva mobiilse veoauto šassiil läbivalgustusseadme ostmine Maksu- ja Tolliametile tolliläbivaatuste tegemiseks. || Estonia – Machines and apparatus with individual functions – Mobiilse läbivalgustusseadme ostmine Maksu- ja Tolliametile
31682210,Instrumentation and control equipment,Supply of an EMC driving robot for VeLA Lab,,Supply of an EMC driving robot for VeLA Lab || Italy – Instrumentation and control equipment – Supply of an EMC driving robot for VeLA Lab
31682540,Substation equipment,"Viljandi 110/35/15/6 ja Jõgeva 110/35/15/10 kV alajaama jaotusseadmete ostmine (IK1242, IP4156, IL6126, LP8941)",,"Viljandi 110/35/15/6 ja Jõgeva 110/35/15/10 kV alajaama jaotusseadmete ostmine (IK1242, IP4156, IL6126, LP8941) || Estonia – Substation equipment – Viljandi 110/35/15/6 ja Jõgeva 110/35/15/10 kV alajaama jaotusseadmete ostmine (IK1242, IP4156, IL6126, LP8941) || Jüri 110/10KV alajaama RTU ja kaarekaitse seadmete ostmine (IK1475) || Estonia – Substation equipment – Jüri 110/10KV alajaama RTU ja kaarekaitse seadmete ostmine (IK1475) || Viljandi 110/35/20/15/6kV AJ RTU ost (LP8941) || Hange on välja kuulutatud RTU kapi koos switchidega ostmiseks. || Estonia – Substation equipment – Viljandi 110/35/20/15/6kV AJ RTU ost (LP8941) || Komplektalajaama AJ14286 ostmine (LR8278)"
32232000,Video-conferencing equipment,Videokonverentsi sideseadmete ja nende tarkvara ostmine koos tehnilise toega (CISCO ja POLY),,Videokonverentsi sideseadmete ja nende tarkvara ostmine koos tehnilise toega (CISCO ja POLY) || CISCO VTC seadmed koos vajaminevate komponentide ja elutsüklihaldusega || Estonia – Video-conferencing equipment – Videokonverentsi sideseadmete ja nende tarkvara ostmine koos tehnilise toega (CISCO ja POLY)
32240000,Television cameras,Stuudio kaamerasüsteemide ostmine,,Stuudio kaamerasüsteemide ostmine || Riigihanke objektiks on Eesti Rahvusringhäälingule stuudio kaamerasüsteemide ostmine. || Estonia – Television cameras – Stuudio kaamerasüsteemide ostmine
32323500,Video-surveillance system,Rajakaamerate soetamine (Keskkonnaagentuur),,Rajakaamerate soetamine (Keskkonnaagentuur) || Keskkonnaagentuur soovib hankida 700 rajakaamerat REM metoodikal põhinevate ulukite kaameraseirete teostamiseks. || Estonia – Video-surveillance system – Rajakaamerate soetamine (Keskkonnaagentuur)
32570000,Communications equipment,Siseside seadmete ja tarvikute soetamine,,Siseside seadmete ja tarvikute soetamine || Estonia – Communications equipment – Kaablid ja tarvikud
33100000,Medical equipments,Röntgenläbivalgustuse seade,,"Röntgenläbivalgustuse seade || Röntgenläbivalgustuse seadme tarne, paigaldus, seadistus ja täishooldus viie (5) aasta jooksul. || Estonia – Medical equipments – Röntgenläbivalgustuse seade || Hanke eesmärk on soetada koeprotsessoreid (esmatarne 1 tk, kuid nõuete täitmiseks on lubatud pakkuda ka 2 tk; täiendav tarne vastavalt 1 või 2 tk) koos seadmete tööks vajaliku kauba tarnega ning seadmete töövõime tagamiseks vajalike teenuste osutamisega seadmete kasuliku eluea jooksul (7 aastat) || Estonia – Medical equipments – Koeprotsessor || Laboriseadmete ost Terviseameti nakkushaiguste laborisse || Terviseameti nakkushaiguste laborisse soetatakse pipeteerimisrobot, 2 reaalaja PCR-seadet, eraldusseade, filtreerimissüsteem ning tandem PCR-seade. || Terviseameti nakkushaiguste laborisse hangitakse täisautomaatne seade (pipeteerimisrobot) kiireks ja täpseks sekveneerimise jaoks ettevalmistavate raamatukogude valmistamiseks. Seade võimaldab kiirelt, standardiseeritult pipeteerida erinevaid lahuseid paralleelselt kokku ja seeläbi oluliselt tõsta laboritöö kiirust, analüüsimahtu, kvaliteeti ning minimeerida inimlikku eksimist."
33111710,Angiography supplies,Koronaar- ja perifeersed stendid ning balloonid,,Koronaar- ja perifeersed stendid ning balloonid || Koronaar- ja perifeersete stentide ning balloonide ostmine vastavalt RHAD lisas I Tehniline kirjeldus kirjeldatule. || Angiograafiatarvikute ostmine vastavalt RHAD lisas I Tehniline kirjeldus kirjeldatule. || Estonia – Angiography supplies – Koronaar- ja perifeersed stendid ning balloonid || Südame vasaku koja kõrvakese kateetrikaudse sulgemise komplekt || Angiograafia tarvikute ostmine vastavalt RHAD lisas Ia Tehniline spetsifikatsioon kirjeldatule || Estonia – Angiography supplies – Südame vasaku koja kõrvakese kateetrikaudse sulgemise komplekt || Angiograafia tarvikud
33112200,Ultrasonic unit,Ultraheliaparaatide ostmine Naistekliinikusse,,"Ultraheliaparaatide ostmine Naistekliinikusse || Ultraheliaparaat on mõeldud raskuspunktiga günekoloogilisteks, sünnitusabi ja loote koos loote ehhokardiograafiaga ning neonataalseteks uuringuteks. || Estonia – Ultrasonic unit – Ultraheliaparaatide ostmine Naistekliinikusse"
33113000,Magnetic resonance imaging equipment,Magnetresonantstomograafi ostmine,,Magnetresonantstomograafi ostmine || Hangitakse Viljandi Haigla magnetresonantstomograaf. || Estonia – Magnetic resonance imaging equipment – Magnetresonantstomograafi ostmine
33124000,Diagnostics and radiodiagnostic devices and supplies,Virtuaalnavigatsioonibronhoskoopia süsteem,,"Virtuaalnavigatsioonibronhoskoopia süsteem || Riigihanke eesmärk on sõlmida hankeleping: - virtuaalnavigatsioonibronhoskoopia süsteemi koos garantii ja garantiiaegse hooldusega, vajaliku tarkvara ja lisaseadmetega, tarnimise, paigalduse ja koolitusega (edaspidi nimetatud Kaup või seade) ostmine; - Kauba garantiijärgse viie (5) aasta pikkuse hooldusteenuse (edaspidi nimetatud hooldusteenus) ostmine; - Kauba kasutamiseks vajalike tarvikute (edaspidi tarvikud) maksimaalses koguses 600 komplekti ostmine. Hankijal puudub kohustus tarvikuid nimetatud maksimaalses mahus osta; - Kauba erakorraliste remonttööde tegemine kuue (6) aasta jooksul Kauba üleandmisest arvates. || Estonia – Diagnostics and radiodiagnostic devices and supplies – Virtuaalnavigatsioonibronhoskoopia süsteem"
33140000,Medical consumables,Meditsiinilised kindad,,"Meditsiinilised kindad || Estonia – Medical consumables – Meditsiinilised kindad || IVF lahuste, söötmete ja tarvikute ostmine || Estonia – Medical consumables – IVF lahuste, söötmete ja tarvikute ostmine || Kipssidemete ostmine || Materjal- puuvill, kips; kergesti paigaldatav; ei pragune; piisava kipsisegu sisaldusega; vastupidav; RÖ-kiiri läbilaskev; modelleerimise aeg 2,5- 3 min; esmane koormustaluvus max 30 min; halva soojusjuhtivusega, mitte tolmav. Kõik pakutud kipssidemed peavad olema toodetud ühe tootja poolt. Vaata RHAD lisa 2 osa 1 || Estonia – Medical consumables – Kipssidemete ostmine"
